L	lambda	gamma	beta	log10_omega_bar	log10_chi	k	log10_kappa_1	log10_kappa_2
131	16	7.65	0.991	-3.4	-1.4	7.07	-3.4	1.35
131	16	7.65	0.991	-3.4	-1.4	7.07	-4.63	2.26
131	11.3	16.4	0.992	-2.56	-1.55	6.28	-3.4	2.26
31.9	16	16.4	0.992	-2.56	-1.55	6.28	-3.4	2.26
31.9	11.3	7.65	0.992	-2.56	-1.55	6.28	-3.4	2.26
31.9	11.3	16.4	0.991	-2.56	-1.55	6.28	-3.4	2.26
31.9	11.3	16.4	0.992	-3.4	-1.55	6.28	-3.4	2.26
31.9	11.3	16.4	0.992	-2.56	-1.4	6.28	-3.4	2.26
31.9	11.3	16.4	0.992	-2.56	-1.55	7.07	-3.4	2.26
31.9	11.3	16.4	0.992	-2.56	-1.55	6.28	-4.63	2.26
31.9	11.3	16.4	0.992	-2.56	-1.55	6.28	-3.4	1.35
31.9	11.3	16.4	0.992	-2.56	-1.55	6.28	-3.4	2.26
109	29.9	12.1	0.784	-2.97	-0.886	16.7	-3.08	2.99
121	29.9	12.1	0.784	-2.97	-0.886	16.7	-3.08	2.99
109	39.6	12.1	0.784	-2.97	-0.886	16.7	-3.08	2.99
109	29.9	8.06	0.784	-2.97	-0.886	16.7	-3.08	2.99
109	29.9	12.1	0.756	-2.97	-0.886	16.7	-3.08	2.99
109	29.9	12.1	0.784	-3.86	-0.886	16.7	-3.08	2.99
109	29.9	12.1	0.784	-2.97	-0.326	16.7	-3.08	2.99
109	29.9	12.1	0.784	-2.97	-0.886	16.3	-3.08	2.99
109	29.9	12.1	0.784	-2.97	-0.886	16.7	-3.56	2.99
109	29.9	12.1	0.784	-2.97	-0.886	16.7	-3.08	1.39
109	39.6	8.06	0.756	-3.86	-0.326	16.3	-3.56	1.39
121	29.9	8.06	0.756	-3.86	-0.326	16.3	-3.56	1.39
121	39.6	12.1	0.756	-3.86	-0.326	16.3	-3.56	1.39
121	39.6	8.06	0.784	-3.86	-0.326	16.3	-3.56	1.39
121	39.6	8.06	0.756	-2.97	-0.326	16.3	-3.56	1.39
121	39.6	8.06	0.756	-3.86	-0.886	16.3	-3.56	1.39
121	39.6	8.06	0.756	-3.86	-0.326	16.7	-3.56	1.39
121	39.6	8.06	0.756	-3.86	-0.326	16.3	-3.08	1.39
121	39.6	8.06	0.756	-3.86	-0.326	16.3	-3.56	2.99
121	39.6	8.06	0.756	-3.86	-0.326	16.3	-3.56	1.39
61.1	6.74	10.7	0.932	-2.32	-0.193	11.1	-2.11	2.34
156	6.74	10.7	0.932	-2.32	-0.193	11.1	-2.11	2.34
61.1	28.9	10.7	0.932	-2.32	-0.193	11.1	-2.11	2.34
61.1	6.74	9.75	0.932	-2.32	-0.193	11.1	-2.11	2.34
61.1	6.74	10.7	0.909	-2.32	-0.193	11.1	-2.11	2.34
61.1	6.74	10.7	0.932	-2.3	-0.193	11.1	-2.11	2.34
61.1	6.74	10.7	0.932	-2.32	-0.894	11.1	-2.11	2.34
61.1	6.74	10.7	0.932	-2.32	-0.193	12.3	-2.11	2.34
61.1	6.74	10.7	0.932	-2.32	-0.193	11.1	-4.44	2.34
61.1	6.74	10.7	0.932	-2.32	-0.193	11.1	-2.11	2.79
61.1	28.9	9.75	0.909	-2.3	-0.894	12.3	-4.44	2.79
156	6.74	9.75	0.909	-2.3	-0.894	12.3	-4.44	2.79
156	28.9	10.7	0.909	-2.3	-0.894	12.3	-4.44	2.79
156	28.9	9.75	0.932	-2.3	-0.894	12.3	-4.44	2.79
156	28.9	9.75	0.909	-2.32	-0.894	12.3	-4.44	2.79
156	28.9	9.75	0.909	-2.3	-0.193	12.3	-4.44	2.79
156	28.9	9.75	0.909	-2.3	-0.894	11.1	-4.44	2.79
156	28.9	9.75	0.909	-2.3	-0.894	12.3	-2.11	2.79
156	28.9	9.75	0.909	-2.3	-0.894	12.3	-4.44	2.34
156	28.9	9.75	0.909	-2.3	-0.894	12.3	-4.44	2.79
173	37	15	0.859	-3.76	-1.71	20.2	-4.12	1.94
85.9	37	15	0.859	-3.76	-1.71	20.2	-4.12	1.94
173	22	15	0.859	-3.76	-1.71	20.2	-4.12	1.94
173	37	13.7	0.859	-3.76	-1.71	20.2	-4.12	1.94
173	37	15	0.829	-3.76	-1.71	20.2	-4.12	1.94
173	37	15	0.859	-3.12	-1.71	20.2	-4.12	1.94
173	37	15	0.859	-3.76	-1.23	20.2	-4.12	1.94
173	37	15	0.859	-3.76	-1.71	22.4	-4.12	1.94
173	37	15	0.859	-3.76	-1.71	20.2	-2.41	1.94
173	37	15	0.859	-3.76	-1.71	20.2	-4.12	1.92
173	22	13.7	0.829	-3.12	-1.23	22.4	-2.41	1.92
85.9	37	13.7	0.829	-3.12	-1.23	22.4	-2.41	1.92
85.9	22	15	0.829	-3.12	-1.23	22.4	-2.41	1.92
85.9	22	13.7	0.859	-3.12	-1.23	22.4	-2.41	1.92
85.9	22	13.7	0.829	-3.76	-1.23	22.4	-2.41	1.92
85.9	22	13.7	0.829	-3.12	-1.71	22.4	-2.41	1.92
85.9	22	13.7	0.829	-3.12	-1.23	20.2	-2.41	1.92
85.9	22	13.7	0.829	-3.12	-1.23	22.4	-4.12	1.92
85.9	22	13.7	0.829	-3.12	-1.23	22.4	-2.41	1.94
85.9	22	13.7	0.829	-3.12	-1.23	22.4	-2.41	1.92
185	9.66	13.9	0.827	-3.55	-1.16	13.9	-2.56	2.02
138	9.66	13.9	0.827	-3.55	-1.16	13.9	-2.56	2.02
185	26.2	13.9	0.827	-3.55	-1.16	13.9	-2.56	2.02
185	9.66	13.2	0.827	-3.55	-1.16	13.9	-2.56	2.02
185	9.66	13.9	0.883	-3.55	-1.16	13.9	-2.56	2.02
185	9.66	13.9	0.827	-3.66	-1.16	13.9	-2.56	2.02
185	9.66	13.9	0.827	-3.55	-1.49	13.9	-2.56	2.02
185	9.66	13.9	0.827	-3.55	-1.16	24.9	-2.56	2.02
185	9.66	13.9	0.827	-3.55	-1.16	13.9	-2.16	2.02
185	9.66	13.9	0.827	-3.55	-1.16	13.9	-2.56	1.56
185	26.2	13.2	0.883	-3.66	-1.49	24.9	-2.16	1.56
138	9.66	13.2	0.883	-3.66	-1.49	24.9	-2.16	1.56
138	26.2	13.9	0.883	-3.66	-1.49	24.9	-2.16	1.56
138	26.2	13.2	0.827	-3.66	-1.49	24.9	-2.16	1.56
138	26.2	13.2	0.883	-3.55	-1.49	24.9	-2.16	1.56
138	26.2	13.2	0.883	-3.66	-1.16	24.9	-2.16	1.56
138	26.2	13.2	0.883	-3.66	-1.49	13.9	-2.16	1.56
138	26.2	13.2	0.883	-3.66	-1.49	24.9	-2.56	1.56
138	26.2	13.2	0.883	-3.66	-1.49	24.9	-2.16	2.02
138	26.2	13.2	0.883	-3.66	-1.49	24.9	-2.16	1.56
25.8	31.9	8.4	0.901	-2.11	-0.678	24.8	-3.73	1.63
60.1	31.9	8.4	0.901	-2.11	-0.678	24.8	-3.73	1.63
25.8	14.9	8.4	0.901	-2.11	-0.678	24.8	-3.73	1.63
25.8	31.9	11.5	0.901	-2.11	-0.678	24.8	-3.73	1.63
25.8	31.9	8.4	0.87	-2.11	-0.678	24.8	-3.73	1.63
25.8	31.9	8.4	0.901	-2.96	-0.678	24.8	-3.73	1.63
25.8	31.9	8.4	0.901	-2.11	-0.629	24.8	-3.73	1.63
25.8	31.9	8.4	0.901	-2.11	-0.678	14.9	-3.73	1.63
25.8	31.9	8.4	0.901	-2.11	-0.678	24.8	-5	1.63
25.8	31.9	8.4	0.901	-2.11	-0.678	24.8	-3.73	2.67
25.8	14.9	11.5	0.87	-2.96	-0.629	14.9	-5	2.67
60.1	31.9	11.5	0.87	-2.96	-0.629	14.9	-5	2.67
60.1	14.9	8.4	0.87	-2.96	-0.629	14.9	-5	2.67
60.1	14.9	11.5	0.901	-2.96	-0.629	14.9	-5	2.67
60.1	14.9	11.5	0.87	-2.11	-0.629	14.9	-5	2.67
60.1	14.9	11.5	0.87	-2.96	-0.678	14.9	-5	2.67
60.1	14.9	11.5	0.87	-2.96	-0.629	24.8	-5	2.67
60.1	14.9	11.5	0.87	-2.96	-0.629	14.9	-3.73	2.67
60.1	14.9	11.5	0.87	-2.96	-0.629	14.9	-5	1.63
60.1	14.9	11.5	0.87	-2.96	-0.629	14.9	-5	2.67
74	22.3	17	0.753	-2.72	-0.493	7.92	-4.32	1.03
103	22.3	17	0.753	-2.72	-0.493	7.92	-4.32	1.03
74	8.6	17	0.753	-2.72	-0.493	7.92	-4.32	1.03
74	22.3	8.6	0.753	-2.72	-0.493	7.92	-4.32	1.03
74	22.3	17	0.966	-2.72	-0.493	7.92	-4.32	1.03
74	22.3	17	0.753	-3.4	-0.493	7.92	-4.32	1.03
74	22.3	17	0.753	-2.72	-0.093	7.92	-4.32	1.03
74	22.3	17	0.753	-2.72	-0.493	18.8	-4.32	1.03
74	22.3	17	0.753	-2.72	-0.493	7.92	-3.99	1.03
74	22.3	17	0.753	-2.72	-0.493	7.92	-4.32	1.02
74	8.6	8.6	0.966	-3.4	-0.093	18.8	-3.99	1.02
103	22.3	8.6	0.966	-3.4	-0.093	18.8	-3.99	1.02
103	8.6	17	0.966	-3.4	-0.093	18.8	-3.99	1.02
103	8.6	8.6	0.753	-3.4	-0.093	18.8	-3.99	1.02
103	8.6	8.6	0.966	-2.72	-0.093	18.8	-3.99	1.02
103	8.6	8.6	0.966	-3.4	-0.493	18.8	-3.99	1.02
103	8.6	8.6	0.966	-3.4	-0.093	7.92	-3.99	1.02
103	8.6	8.6	0.966	-3.4	-0.093	18.8	-4.32	1.02
103	8.6	8.6	0.966	-3.4	-0.093	18.8	-3.99	1.03
103	8.6	8.6	0.966	-3.4	-0.093	18.8	-3.99	1.02
144	25.9	11.3	0.959	-3.16	-1.98	18.3	-3.43	2.68
185	25.9	11.3	0.959	-3.16	-1.98	18.3	-3.43	2.68
144	32.5	11.3	0.959	-3.16	-1.98	18.3	-3.43	2.68
144	25.9	14.6	0.959	-3.16	-1.98	18.3	-3.43	2.68
144	25.9	11.3	0.796	-3.16	-1.98	18.3	-3.43	2.68
144	25.9	11.3	0.959	-2.22	-1.98	18.3	-3.43	2.68
144	25.9	11.3	0.959	-3.16	-1.79	18.3	-3.43	2.68
144	25.9	11.3	0.959	-3.16	-1.98	8.8	-3.43	2.68
144	25.9	11.3	0.959	-3.16	-1.98	18.3	-3.04	2.68
144	25.9	11.3	0.959	-3.16	-1.98	18.3	-3.43	2.14
144	32.5	14.6	0.796	-2.22	-1.79	8.8	-3.04	2.14
185	25.9	14.6	0.796	-2.22	-1.79	8.8	-3.04	2.14
185	32.5	11.3	0.796	-2.22	-1.79	8.8	-3.04	2.14
185	32.5	14.6	0.959	-2.22	-1.79	8.8	-3.04	2.14
185	32.5	14.6	0.796	-3.16	-1.79	8.8	-3.04	2.14
185	32.5	14.6	0.796	-2.22	-1.98	8.8	-3.04	2.14
185	32.5	14.6	0.796	-2.22	-1.79	18.3	-3.04	2.14
185	32.5	14.6	0.796	-2.22	-1.79	8.8	-3.43	2.14
185	32.5	14.6	0.796	-2.22	-1.79	8.8	-3.04	2.68
185	32.5	14.6	0.796	-2.22	-1.79	8.8	-3.04	2.14
153	7.95	16.3	0.883	-2.78	-1.54	13.2	-2.74	2.23
67.3	7.95	16.3	0.883	-2.78	-1.54	13.2	-2.74	2.23
153	33.6	16.3	0.883	-2.78	-1.54	13.2	-2.74	2.23
153	7.95	16	0.883	-2.78	-1.54	13.2	-2.74	2.23
153	7.95	16.3	0.854	-2.78	-1.54	13.2	-2.74	2.23
153	7.95	16.3	0.883	-3.36	-1.54	13.2	-2.74	2.23
153	7.95	16.3	0.883	-2.78	-0.791	13.2	-2.74	2.23
153	7.95	16.3	0.883	-2.78	-1.54	22.8	-2.74	2.23
153	7.95	16.3	0.883	-2.78	-1.54	13.2	-4.4	2.23
153	7.95	16.3	0.883	-2.78	-1.54	13.2	-2.74	1.78
153	33.6	16	0.854	-3.36	-0.791	22.8	-4.4	1.78
67.3	7.95	16	0.854	-3.36	-0.791	22.8	-4.4	1.78
67.3	33.6	16.3	0.854	-3.36	-0.791	22.8	-4.4	1.78
67.3	33.6	16	0.883	-3.36	-0.791	22.8	-4.4	1.78
67.3	33.6	16	0.854	-2.78	-0.791	22.8	-4.4	1.78
67.3	33.6	16	0.854	-3.36	-1.54	22.8	-4.4	1.78
67.3	33.6	16	0.854	-3.36	-0.791	13.2	-4.4	1.78
67.3	33.6	16	0.854	-3.36	-0.791	22.8	-2.74	1.78
67.3	33.6	16	0.854	-3.36	-0.791	22.8	-4.4	2.23
67.3	33.6	16	0.854	-3.36	-0.791	22.8	-4.4	1.78
87.4	38.2	11.9	0.83	-3.35	-0.0571	23	-3.54	1.62
175	38.2	11.9	0.83	-3.35	-0.0571	23	-3.54	1.62
87.4	5.35	11.9	0.83	-3.35	-0.0571	23	-3.54	1.62
87.4	38.2	7.48	0.83	-3.35	-0.0571	23	-3.54	1.62
87.4	38.2	11.9	0.899	-3.35	-0.0571	23	-3.54	1.62
87.4	38.2	11.9	0.83	-2.06	-0.0571	23	-3.54	1.62
87.4	38.2	11.9	0.83	-3.35	-1.08	23	-3.54	1.62
87.4	38.2	11.9	0.83	-3.35	-0.0571	12.7	-3.54	1.62
87.4	38.2	11.9	0.83	-3.35	-0.0571	23	-2.74	1.62
87.4	38.2	11.9	0.83	-3.35	-0.0571	23	-3.54	2.88
87.4	5.35	7.48	0.899	-2.06	-1.08	12.7	-2.74	2.88
175	38.2	7.48	0.899	-2.06	-1.08	12.7	-2.74	2.88
175	5.35	11.9	0.899	-2.06	-1.08	12.7	-2.74	2.88
175	5.35	7.48	0.83	-2.06	-1.08	12.7	-2.74	2.88
175	5.35	7.48	0.899	-3.35	-1.08	12.7	-2.74	2.88
175	5.35	7.48	0.899	-2.06	-0.0571	12.7	-2.74	2.88
175	5.35	7.48	0.899	-2.06	-1.08	23	-2.74	2.88
175	5.35	7.48	0.899	-2.06	-1.08	12.7	-3.54	2.88
175	5.35	7.48	0.899	-2.06	-1.08	12.7	-2.74	1.62
175	5.35	7.48	0.899	-2.06	-1.08	12.7	-2.74	2.88
39.1	15.1	13.3	0.949	-3.99	-0.864	9.92	-4.51	1.21
122	15.1	13.3	0.949	-3.99	-0.864	9.92	-4.51	1.21
39.1	16	13.3	0.949	-3.99	-0.864	9.92	-4.51	1.21
39.1	15.1	10.2	0.949	-3.99	-0.864	9.92	-4.51	1.21
39.1	15.1	13.3	0.812	-3.99	-0.864	9.92	-4.51	1.21
39.1	15.1	13.3	0.949	-3.62	-0.864	9.92	-4.51	1.21
39.1	15.1	13.3	0.949	-3.99	-1.64	9.92	-4.51	1.21
39.1	15.1	13.3	0.949	-3.99	-0.864	18.6	-4.51	1.21
39.1	15.1	13.3	0.949	-3.99	-0.864	9.92	-3.26	1.21
39.1	15.1	13.3	0.949	-3.99	-0.864	9.92	-4.51	1.31
39.1	16	10.2	0.812	-3.62	-1.64	18.6	-3.26	1.31
122	15.1	10.2	0.812	-3.62	-1.64	18.6	-3.26	1.31
122	16	13.3	0.812	-3.62	-1.64	18.6	-3.26	1.31
122	16	10.2	0.949	-3.62	-1.64	18.6	-3.26	1.31
122	16	10.2	0.812	-3.99	-1.64	18.6	-3.26	1.31
122	16	10.2	0.812	-3.62	-0.864	18.6	-3.26	1.31
122	16	10.2	0.812	-3.62	-1.64	9.92	-3.26	1.31
122	16	10.2	0.812	-3.62	-1.64	18.6	-4.51	1.31
122	16	10.2	0.812	-3.62	-1.64	18.6	-3.26	1.21
122	16	10.2	0.812	-3.62	-1.64	18.6	-3.26	1.31
195	29	8.96	0.78	-2.42	-1.35	18.8	-3.24	2.57
30.1	29	8.96	0.78	-2.42	-1.35	18.8	-3.24	2.57
195	23	8.96	0.78	-2.42	-1.35	18.8	-3.24	2.57
195	29	14.3	0.78	-2.42	-1.35	18.8	-3.24	2.57
195	29	8.96	0.951	-2.42	-1.35	18.8	-3.24	2.57
195	29	8.96	0.78	-2.8	-1.35	18.8	-3.24	2.57
195	29	8.96	0.78	-2.42	-0.491	18.8	-3.24	2.57
195	29	8.96	0.78	-2.42	-1.35	8.54	-3.24	2.57
195	29	8.96	0.78	-2.42	-1.35	18.8	-3.8	2.57
195	29	8.96	0.78	-2.42	-1.35	18.8	-3.24	2.42
195	23	14.3	0.951	-2.8	-0.491	8.54	-3.8	2.42
30.1	29	14.3	0.951	-2.8	-0.491	8.54	-3.8	2.42
30.1	23	8.96	0.951	-2.8	-0.491	8.54	-3.8	2.42
30.1	23	14.3	0.78	-2.8	-0.491	8.54	-3.8	2.42
30.1	23	14.3	0.951	-2.42	-0.491	8.54	-3.8	2.42
30.1	23	14.3	0.951	-2.8	-1.35	8.54	-3.8	2.42
30.1	23	14.3	0.951	-2.8	-0.491	18.8	-3.8	2.42
30.1	23	14.3	0.951	-2.8	-0.491	8.54	-3.24	2.42
30.1	23	14.3	0.951	-2.8	-0.491	8.54	-3.8	2.57
30.1	23	14.3	0.951	-2.8	-0.491	8.54	-3.8	2.42
162	19.1	10.1	0.811	-2.14	-1.77	5.09	-4.82	1.4
192	19.1	10.1	0.811	-2.14	-1.77	5.09	-4.82	1.4
162	18.8	10.1	0.811	-2.14	-1.77	5.09	-4.82	1.4
162	19.1	12.4	0.811	-2.14	-1.77	5.09	-4.82	1.4
162	19.1	10.1	0.771	-2.14	-1.77	5.09	-4.82	1.4
162	19.1	10.1	0.811	-2.46	-1.77	5.09	-4.82	1.4
162	19.1	10.1	0.811	-2.14	-0.226	5.09	-4.82	1.4
162	19.1	10.1	0.811	-2.14	-1.77	6.07	-4.82	1.4
162	19.1	10.1	0.811	-2.14	-1.77	5.09	-4.13	1.4
162	19.1	10.1	0.811	-2.14	-1.77	5.09	-4.82	2.03
162	18.8	12.4	0.771	-2.46	-0.226	6.07	-4.13	2.03
192	19.1	12.4	0.771	-2.46	-0.226	6.07	-4.13	2.03
192	18.8	10.1	0.771	-2.46	-0.226	6.07	-4.13	2.03
192	18.8	12.4	0.811	-2.46	-0.226	6.07	-4.13	2.03
192	18.8	12.4	0.771	-2.14	-0.226	6.07	-4.13	2.03
192	18.8	12.4	0.771	-2.46	-1.77	6.07	-4.13	2.03
192	18.8	12.4	0.771	-2.46	-0.226	5.09	-4.13	2.03
192	18.8	12.4	0.771	-2.46	-0.226	6.07	-4.82	2.03
192	18.8	12.4	0.771	-2.46	-0.226	6.07	-4.13	1.4
192	18.8	12.4	0.771	-2.46	-0.226	6.07	-4.13	2.03
49.2	22.7	15.6	0.98	-3.7	-0.257	16.2	-2.9	2.76
95.4	22.7	15.6	0.98	-3.7	-0.257	16.2	-2.9	2.76
49.2	30.1	15.6	0.98	-3.7	-0.257	16.2	-2.9	2.76
49.2	22.7	10.9	0.98	-3.7	-0.257	16.2	-2.9	2.76
49.2	22.7	15.6	0.976	-3.7	-0.257	16.2	-2.9	2.76
49.2	22.7	15.6	0.98	-3.15	-0.257	16.2	-2.9	2.76
49.2	22.7	15.6	0.98	-3.7	-1.9	16.2	-2.9	2.76
49.2	22.7	15.6	0.98	-3.7	-0.257	16	-2.9	2.76
49.2	22.7	15.6	0.98	-3.7	-0.257	16.2	-2.8	2.76
49.2	22.7	15.6	0.98	-3.7	-0.257	16.2	-2.9	1.18
49.2	30.1	10.9	0.976	-3.15	-1.9	16	-2.8	1.18
95.4	22.7	10.9	0.976	-3.15	-1.9	16	-2.8	1.18
95.4	30.1	15.6	0.976	-3.15	-1.9	16	-2.8	1.18
95.4	30.1	10.9	0.98	-3.15	-1.9	16	-2.8	1.18
95.4	30.1	10.9	0.976	-3.7	-1.9	16	-2.8	1.18
95.4	30.1	10.9	0.976	-3.15	-0.257	16	-2.8	1.18
95.4	30.1	10.9	0.976	-3.15	-1.9	16.2	-2.8	1.18
95.4	30.1	10.9	0.976	-3.15	-1.9	16	-2.9	1.18
95.4	30.1	10.9	0.976	-3.15	-1.9	16	-2.8	2.76
95.4	30.1	10.9	0.976	-3.15	-1.9	16	-2.8	1.18
97	13.1	7.05	0.862	-3.09	-0.572	11.7	-2.29	2.42
47.1	13.1	7.05	0.862	-3.09	-0.572	11.7	-2.29	2.42
97	36.4	7.05	0.862	-3.09	-0.572	11.7	-2.29	2.42
97	13.1	9.43	0.862	-3.09	-0.572	11.7	-2.29	2.42
97	13.1	7.05	0.813	-3.09	-0.572	11.7	-2.29	2.42
97	13.1	7.05	0.862	-2.71	-0.572	11.7	-2.29	2.42
97	13.1	7.05	0.862	-3.09	-1.32	11.7	-2.29	2.42
97	13.1	7.05	0.862	-3.09	-0.572	10.3	-2.29	2.42
97	13.1	7.05	0.862	-3.09	-0.572	11.7	-2.21	2.42
97	13.1	7.05	0.862	-3.09	-0.572	11.7	-2.29	2.5
97	36.4	9.43	0.813	-2.71	-1.32	10.3	-2.21	2.5
47.1	13.1	9.43	0.813	-2.71	-1.32	10.3	-2.21	2.5
47.1	36.4	7.05	0.813	-2.71	-1.32	10.3	-2.21	2.5
47.1	36.4	9.43	0.862	-2.71	-1.32	10.3	-2.21	2.5
47.1	36.4	9.43	0.813	-3.09	-1.32	10.3	-2.21	2.5
47.1	36.4	9.43	0.813	-2.71	-0.572	10.3	-2.21	2.5
47.1	36.4	9.43	0.813	-2.71	-1.32	11.7	-2.21	2.5
47.1	36.4	9.43	0.813	-2.71	-1.32	10.3	-2.29	2.5
47.1	36.4	9.43	0.813	-2.71	-1.32	10.3	-2.21	2.42
47.1	36.4	9.43	0.813	-2.71	-1.32	10.3	-2.21	2.5
120	35.3	12.8	0.914	-2.53	-1.09	22	-3.94	1.81
151	35.3	12.8	0.914	-2.53	-1.09	22	-3.94	1.81
120	12.5	12.8	0.914	-2.53	-1.09	22	-3.94	1.81
120	35.3	15.3	0.914	-2.53	-1.09	22	-3.94	1.81
120	35.3	12.8	0.925	-2.53	-1.09	22	-3.94	1.81
120	35.3	12.8	0.914	-3.89	-1.09	22	-3.94	1.81
120	35.3	12.8	0.914	-2.53	-0.558	22	-3.94	1.81
120	35.3	12.8	0.914	-2.53	-1.09	20.3	-3.94	1.81
120	35.3	12.8	0.914	-2.53	-1.09	22	-4.67	1.81
120	35.3	12.8	0.914	-2.53	-1.09	22	-3.94	1.65
120	12.5	15.3	0.925	-3.89	-0.558	20.3	-4.67	1.65
151	35.3	15.3	0.925	-3.89	-0.558	20.3	-4.67	1.65
151	12.5	12.8	0.925	-3.89	-0.558	20.3	-4.67	1.65
151	12.5	15.3	0.914	-3.89	-0.558	20.3	-4.67	1.65
151	12.5	15.3	0.925	-2.53	-0.558	20.3	-4.67	1.65
151	12.5	15.3	0.925	-3.89	-1.09	20.3	-4.67	1.65
151	12.5	15.3	0.925	-3.89	-0.558	22	-4.67	1.65
151	12.5	15.3	0.925	-3.89	-0.558	20.3	-3.94	1.65
151	12.5	15.3	0.925	-3.89	-0.558	20.3	-4.67	1.81
151	12.5	15.3	0.925	-3.89	-0.558	20.3	-4.67	1.65
111	12.4	11.6	0.761	-3.86	-0.319	17.5	-2.27	1.54
57.9	12.4	11.6	0.761	-3.86	-0.319	17.5	-2.27	1.54
111	13.5	11.6	0.761	-3.86	-0.319	17.5	-2.27	1.54
111	12.4	12.7	0.761	-3.86	-0.319	17.5	-2.27	1.54
111	12.4	11.6	0.781	-3.86	-0.319	17.5	-2.27	1.54
111	12.4	11.6	0.761	-3.69	-0.319	17.5	-2.27	1.54
111	12.4	11.6	0.761	-3.86	-1.03	17.5	-2.27	1.54
111	12.4	11.6	0.761	-3.86	-0.319	7.49	-2.27	1.54
111	12.4	11.6	0.761	-3.86	-0.319	17.5	-4.62	1.54
111	12.4	11.6	0.761	-3.86	-0.319	17.5	-2.27	1.32
111	13.5	12.7	0.781	-3.69	-1.03	7.49	-4.62	1.32
57.9	12.4	12.7	0.781	-3.69	-1.03	7.49	-4.62	1.32
57.9	13.5	11.6	0.781	-3.69	-1.03	7.49	-4.62	1.32
57.9	13.5	12.7	0.761	-3.69	-1.03	7.49	-4.62	1.32
57.9	13.5	12.7	0.781	-3.86	-1.03	7.49	-4.62	1.32
57.9	13.5	12.7	0.781	-3.69	-0.319	7.49	-4.62	1.32
57.9	13.5	12.7	0.781	-3.69	-1.03	17.5	-4.62	1.32
57.9	13.5	12.7	0.781	-3.69	-1.03	7.49	-2.27	1.32
57.9	13.5	12.7	0.781	-3.69	-1.03	7.49	-4.62	1.54
57.9	13.5	12.7	0.781	-3.69	-1.03	7.49	-4.62	1.32
89.6	33.9	16	0.968	-2.3	-1.83	6.26	-4.01	2.18
140	33.9	16	0.968	-2.3	-1.83	6.26	-4.01	2.18
89.6	37.7	16	0.968	-2.3	-1.83	6.26	-4.01	2.18
89.6	33.9	11.7	0.968	-2.3	-1.83	6.26	-4.01	2.18
89.6	33.9	16	0.956	-2.3	-1.83	6.26	-4.01	2.18
89.6	33.9	16	0.968	-2.88	-1.83	6.26	-4.01	2.18
89.6	33.9	16	0.968	-2.3	-0.851	6.26	-4.01	2.18
89.6	33.9	16	0.968	-2.3	-1.83	17.4	-4.01	2.18
89.6	33.9	16	0.968	-2.3	-1.83	6.26	-2.54	2.18
89.6	33.9	16	0.968	-2.3	-1.83	6.26	-4.01	2.45
89.6	37.7	11.7	0.956	-2.88	-0.851	17.4	-2.54	2.45
140	33.9	11.7	0.956	-2.88	-0.851	17.4	-2.54	2.45
140	37.7	16	0.956	-2.88	-0.851	17.4	-2.54	2.45
140	37.7	11.7	0.968	-2.88	-0.851	17.4	-2.54	2.45
140	37.7	11.7	0.956	-2.3	-0.851	17.4	-2.54	2.45
140	37.7	11.7	0.956	-2.88	-1.83	17.4	-2.54	2.45
140	37.7	11.7	0.956	-2.88	-0.851	6.26	-2.54	2.45
140	37.7	11.7	0.956	-2.88	-0.851	17.4	-4.01	2.45
140	37.7	11.7	0.956	-2.88	-0.851	17.4	-2.54	2.18
140	37.7	11.7	0.956	-2.88	-0.851	17.4	-2.54	2.45
46.7	19.4	9.32	0.82	-2.91	-1.03	20.7	-4.99	2.53
182	19.4	9.32	0.82	-2.91	-1.03	20.7	-4.99	2.53
46.7	30.8	9.32	0.82	-2.91	-1.03	20.7	-4.99	2.53
46.7	19.4	8.47	0.82	-2.91	-1.03	20.7	-4.99	2.53
46.7	19.4	9.32	0.864	-2.91	-1.03	20.7	-4.99	2.53
46.7	19.4	9.32	0.82	-3.45	-1.03	20.7	-4.99	2.53
46.7	19.4	9.32	0.82	-2.91	-0.433	20.7	-4.99	2.53
46.7	19.4	9.32	0.82	-2.91	-1.03	11.4	-4.99	2.53
46.7	19.4	9.32	0.82	-2.91	-1.03	20.7	-3.41	2.53
46.7	19.4	9.32	0.82	-2.91	-1.03	20.7	-4.99	1.85
46.7	30.8	8.47	0.864	-3.45	-0.433	11.4	-3.41	1.85
182	19.4	8.47	0.864	-3.45	-0.433	11.4	-3.41	1.85
182	30.8	9.32	0.864	-3.45	-0.433	11.4	-3.41	1.85
182	30.8	8.47	0.82	-3.45	-0.433	11.4	-3.41	1.85
182	30.8	8.47	0.864	-2.91	-0.433	11.4	-3.41	1.85
182	30.8	8.47	0.864	-3.45	-1.03	11.4	-3.41	1.85
182	30.8	8.47	0.864	-3.45	-0.433	20.7	-3.41	1.85
182	30.8	8.47	0.864	-3.45	-0.433	11.4	-4.99	1.85
182	30.8	8.47	0.864	-3.45	-0.433	11.4	-3.41	2.53
182	30.8	8.47	0.864	-3.45	-0.433	11.4	-3.41	1.85
159	24.6	13.6	0.893	-3.47	-0.509	10.6	-2.78	1.14
105	24.6	13.6	0.893	-3.47	-0.509	10.6	-2.78	1.14
159	20.3	13.6	0.893	-3.47	-0.509	10.6	-2.78	1.14
